CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 119.777344 1616134514.9144
MEM 119.792969 1616134515.0189
MEM 119.812500 1616134515.1229
MEM 119.832031 1616134515.2259
MEM 119.875000 1616134515.3300
MEM 120.125000 1616134515.4343
MEM 120.203125 1616134515.5382
MEM 120.320312 1616134515.6387
MEM 120.429688 1616134515.7409
MEM 120.597656 1616134515.8445
MEM 120.730469 1616134515.9470
MEM 120.882812 1616134516.0489
MEM 121.406250 1616134516.1524
MEM 121.445312 1616134516.2566
MEM 121.472656 1616134516.3609
MEM 121.472656 1616134516.4639
MEM 121.722656 1616134516.5689
MEM 122.816406 1616134516.6693
MEM 125.003906 1616134516.7696
MEM 125.003906 1616134516.8703
MEM 125.003906 1616134516.9732
MEM 125.003906 1616134517.0770
MEM 125.003906 1616134517.1777
MEM 125.003906 1616134517.2794
MEM 125.003906 1616134517.3843
MEM 125.003906 1616134517.4867
MEM 125.003906 1616134517.5918
MEM 125.003906 1616134517.6933
MEM 125.003906 1616134517.7943
MEM 125.003906 1616134517.8966
MEM 125.003906 1616134518.0018
MEM 125.042969 1616134518.1039
MEM 125.042969 1616134518.2082
MEM 125.042969 1616134518.3106
MEM 125.042969 1616134518.4112
MEM 125.042969 1616134518.5158
MEM 125.042969 1616134518.6202
MEM 125.042969 1616134518.7252
MEM 125.042969 1616134518.8295
MEM 125.042969 1616134518.9359
MEM 125.042969 1616134519.0384
MEM 125.042969 1616134519.1436
MEM 125.042969 1616134519.2473
MEM 125.042969 1616134519.3524
MEM 125.042969 1616134519.4561
MEM 125.042969 1616134519.5606
MEM 125.042969 1616134519.6651
MEM 125.042969 1616134519.7696
MEM 125.054688 1616134519.8762
MEM 125.093750 1616134519.9805
MEM 125.093750 1616134520.0831
MEM 125.101562 1616134520.1849
MEM 125.101562 1616134520.2873
MEM 125.101562 1616134520.3916
MEM 125.101562 1616134520.4921
MEM 125.101562 1616134520.5939
MEM 125.101562 1616134520.6948
MEM 125.101562 1616134520.7996
MEM 125.101562 1616134520.9024
MEM 125.113281 1616134521.0026
MEM 125.113281 1616134521.1039
MEM 125.113281 1616134521.2097
MEM 125.113281 1616134521.3140
MEM 125.113281 1616134521.4189
MEM 125.113281 1616134521.5212
MEM 125.113281 1616134521.6262
MEM 125.113281 1616134521.7279
MEM 125.113281 1616134521.8328
MEM 125.113281 1616134521.9358
MEM 125.113281 1616134522.0387
MEM 112.175781 1616134522.1861
MEM 112.175781 1616134522.2934
MEM 109.726562 1616134522.3953
MEM 109.632812 1616134522.4995
MEM 109.632812 1616134522.6045
MEM 109.632812 1616134522.7245
MEM 109.632812 1616134522.8260
MEM 109.632812 1616134522.9274
MEM 109.632812 1616134523.0385
MEM 109.632812 1616134523.1428
MEM 109.636719 1616134523.2446
MEM 109.636719 1616134523.3459
MEM 109.636719 1616134523.4463
MEM 109.636719 1616134523.5467
MEM 109.660156 1616134523.6510
MEM 109.675781 1616134523.7532
MEM 109.675781 1616134523.8559
MEM 109.675781 1616134523.9598
MEM 109.675781 1616134524.0604
MEM 109.679688 1616134524.1623
MEM 109.679688 1616134524.2642
MEM 109.679688 1616134524.3701
MEM 109.660156 1616134524.4924
MEM 109.660156 1616134524.6303
MEM 109.660156 1616134524.7451
MEM 109.660156 1616134524.8489
MEM 109.660156 1616134524.9527
MEM 109.660156 1616134525.0569
MEM 109.660156 1616134525.1636
MEM 109.671875 1616134525.2684
MEM 109.695312 1616134525.3723
MEM 109.734375 1616134525.4751
MEM 109.734375 1616134525.5809
MEM 109.734375 1616134525.6842
MEM 109.734375 1616134525.7869
MEM 109.734375 1616134525.8873
MEM 109.734375 1616134525.9932
MEM 109.734375 1616134526.0947
MEM 109.734375 1616134526.1993
MEM 109.738281 1616134526.3039
MEM 109.738281 1616134526.4536
MEM 109.738281 1616134526.5553
MEM 109.738281 1616134526.6558
MEM 109.742188 1616134526.7630
MEM 109.742188 1616134526.8676
MEM 109.750000 1616134526.9713
MEM 109.753906 1616134527.0760
MEM 109.753906 1616134527.1811
MEM 109.757812 1616134527.2863
MEM 109.757812 1616134527.3894
MEM 110.710938 1616134527.4928
MEM 110.507812 1616134527.5976
MEM 110.507812 1616134527.7026
MEM 110.507812 1616134527.8067
MEM 110.511719 1616134527.9072
MEM 110.515625 1616134528.0099
MEM 110.515625 1616134528.1142
MEM 110.515625 1616134528.2189
MEM 110.515625 1616134528.3231
MEM 110.515625 1616134528.4266
MEM 110.515625 1616134528.5310
MEM 110.519531 1616134528.6366
MEM 110.519531 1616134528.7406
MEM 110.519531 1616134528.8421
MEM 110.519531 1616134528.9433
MEM 110.519531 1616134529.0463
MEM 110.519531 1616134529.1473
MEM 110.519531 1616134529.2525
MEM 110.519531 1616134529.3560
MEM 110.519531 1616134529.4606
MEM 110.519531 1616134529.5650
